Prison_ID,Prison_Type,Security_Level,Capacity,Number_of_Blocks,Current_Occupancy,Admissions_Last_7_Days,Admissions_Last_30_Days,Pending_Admissions,Releases_Last_7_Days,Releases_Last_30_Days,Upcoming_Releases_30_Days,Upcoming_Releases_60_Days,Upcoming_Releases_90_Days,Transfers_In_Last_30_Days,Transfers_Out_Last_30_Days,Pending_Transfers_In,Pending_Transfers_Out,Average_Remaining_Sentence,Median_Remaining_Sentence,Occupancy_7_Days_Ago,Occupancy_30_Days_Ago,Occupancy_60_Days_Ago,Occupancy_90_Days_Ago,Occupancy_30_Days,Occupancy_60_Days,Occupancy_90_Days
PR003966,Maximum Security,High,1133,7,689,37,167,18,33,127,130,283,407,4,12,2,0,97.9,63.1,684,653,605,571,697,691,732
PR003967,Remand,High,548,4,468,229,952,3,179,796,644,1255,1838,2,3,3,4,3.6,2.6,434,317,154,0,767,767,767
PR003968,Minimum Security,Low,729,5,431,66,271,10,65,305,330,655,972,3,5,5,1,3.1,2.7,439,466,519,577,383,368,306
PR003969,Remand,Medium,497,3,438,254,1131,8,229,1104,1133,2229,3340,6,1,2,1,2.4,1.9,431,410,373,333,486,559,662
PR003970,Maximum Security,Medium,1256,10,1122,68,248,24,58,237,247,534,808,8,11,2,2,31.6,28.0,1123,1097,1090,1085,1135,1095,1073
PR003971,Women's,Medium,134,1,110,19,98,3,14,59,61,132,209,0,1,0,2,13.4,8.3,97,64,41,23,156,187,187
PR003972,Maximum Security,High,348,3,250,23,77,11,18,91,103,213,308,0,2,2,0,66.9,50.6,251,265,310,330,222,227,222
PR003973,Remand,Medium,664,6,429,162,654,16,100,457,530,1078,1599,8,2,1,3,7.8,4.7,383,229,6,0,611,759,929
PR003974,Minimum Security,Low,979,7,883,125,602,20,208,845,823,1616,2445,3,2,1,2,24.7,15.1,941,1116,1272,1272,660,465,241
PR003975,Maximum Security,High,1167,7,678,77,314,16,54,267,229,480,753,12,7,1,2,44.8,39.4,667,625,597,520,762,824,867
PR003976,Minimum Security,Low,204,1,191,31,162,0,50,197,186,320,477,2,2,1,6,8.3,6.5,197,216,261,265,155,183,161
PR003977,Maximum Security,High,1093,6,865,38,158,7,34,123,131,271,385,4,8,3,0,23.3,15.5,861,849,804,763,901,922,983
PR003978,Maximum Security,High,392,3,283,15,56,8,7,46,68,119,172,5,1,3,1,13.7,11.7,282,270,254,245,265,308,353
PR003979,Remand,High,1067,7,650,336,1448,16,350,1439,1365,2774,4125,15,16,0,1,2.2,1.3,646,634,632,603,727,732,774
PR003980,Juvenile,Medium,234,1,217,43,171,2,30,138,151,298,425,1,2,1,1,1.0,0.6,204,189,164,94,230,190,215
PR003981,Maximum Security,High,617,6,531,28,135,2,42,151,138,285,424,10,6,0,1,42.8,29.4,533,546,567,548,545,545,549
PR003982,Remand,Medium,1195,8,996,327,1360,11,415,1729,1587,3160,4778,4,5,3,0,5.4,3.3,1079,1367,1553,1553,799,588,359
PR003983,Remand,High,756,3,593,178,856,16,230,1059,965,1890,2837,6,12,2,4,4.9,3.5,642,808,982,982,542,526,505
PR003984,Minimum Security,Low,666,6,532,140,518,13,96,450,388,774,1170,2,1,3,0,9.2,5.7,516,463,411,310,666,788,889
PR003985,Minimum Security,Low,387,1,325,56,215,7,70,269,280,571,846,2,6,4,2,13.2,7.7,339,385,450,490,261,209,121
PR003986,Maximum Security,Medium,1322,9,1058,84,353,8,84,386,390,740,1135,5,9,2,3,15.1,10.6,1068,1100,1153,1189,999,1016,952
PR003987,Minimum Security,Low,470,4,397,66,278,10,69,298,296,569,876,3,7,0,4,20.6,13.9,402,418,473,498,391,405,393
PR003988,Remand,Low,387,3,343,155,634,6,159,681,744,1464,2152,3,1,2,1,1.9,1.3,356,384,438,460,215,124,53
PR003989,Women's,Low,251,3,122,19,68,1,8,42,35,86,134,1,1,1,2,14.6,12.9,121,99,60,30,144,149,167
PR003990,Women's,Low,344,2,117,16,69,4,31,97,101,233,338,6,5,2,1,19.9,12.6,127,146,175,186,107,38,16
PR003991,Women's,Medium,297,2,248,41,188,4,39,185,214,427,647,0,0,1,1,7.9,6.4,246,256,233,223,209,198,128
PR003992,Remand,Medium,290,1,208,83,353,2,63,306,322,668,972,3,0,0,4,0.5,0.4,197,149,108,44,257,291,324
PR003993,Maximum Security,High,832,4,624,56,253,6,60,324,275,529,825,5,1,1,0,33.0,28.1,636,698,763,824,644,680,689
PR003994,Minimum Security,Low,715,8,710,140,569,4,134,538,521,1054,1579,3,3,0,2,10.7,7.4,704,685,645,618,728,719,741
PR003995,Minimum Security,Low,439,4,424,54,264,6,63,296,341,677,1036,4,7,1,1,14.2,10.0,435,453,504,531,321,252,169
PR003996,Maximum Security,Medium,415,4,227,10,60,3,9,72,64,119,179,1,6,0,1,26.7,18.0,228,259,255,267,227,244,205
PR003997,Maximum Security,High,1070,10,1002,37,156,15,27,133,181,346,495,12,7,0,0,23.7,19.3,999,966,935,957,1006,1023,1047
PR003998,Remand,Medium,795,5,657,316,1359,14,319,1404,1620,3230,4805,4,7,2,5,6.0,4.4,672,705,726,825,382,110,0
PR003999,Minimum Security,Low,551,4,388,65,296,7,62,257,218,437,695,1,3,3,2,4.1,2.7,380,346,307,284,460,522,557
PR004000,Minimum Security,Low,455,1,374,105,390,2,91,347,298,604,925,6,0,2,7,29.1,24.2,369,338,279,207,449,450,547
PR004001,Juvenile,Low,219,1,181,60,270,2,72,284,287,562,838,3,2,2,1,7.6,6.6,181,204,180,244,180,191,198
PR004002,Minimum Security,Low,489,3,357,78,319,5,73,325,312,610,916,2,7,3,2,28.0,21.2,360,364,385,401,320,319,329
PR004003,Women's,Low,489,3,318,55,262,6,50,253,246,509,776,3,2,0,2,23.0,13.7,312,314,315,341,361,392,427
PR004004,Minimum Security,Low,770,6,689,119,538,12,145,645,692,1399,2084,4,11,1,2,4.1,2.9,711,805,933,1001,558,399,251
PR004005,Remand,Medium,842,6,588,358,1543,9,369,1561,1728,3439,5121,4,2,0,3,12.4,11.1,592,599,613,617,449,294,226
PR004006,Minimum Security,Low,434,4,342,60,254,5,65,263,275,558,842,3,2,1,1,12.3,10.7,342,345,361,352,344,330,297
PR004007,Remand,Medium,602,3,565,161,611,5,108,511,610,1181,1745,4,9,3,0,10.4,9.0,545,481,376,249,578,631,704
PR004008,Minimum Security,Medium,639,4,331,17,112,5,26,134,124,253,404,4,2,2,2,10.0,7.7,336,369,367,378,331,323,295
PR004009,Minimum Security,Low,834,6,519,85,358,0,88,428,424,833,1247,12,5,1,1,14.4,8.2,533,571,648,692,486,457,435
PR004010,Remand,High,1095,9,1045,317,1347,12,536,2159,1815,3771,5657,5,3,1,1,4.3,3.0,1237,1423,1423,1423,572,0,0
PR004011,Minimum Security,Medium,699,5,672,85,343,16,76,353,408,817,1213,6,6,2,3,5.4,4.7,670,682,694,692,626,571,635
PR004012,Minimum Security,Medium,808,5,732,94,396,4,73,278,275,541,795,6,5,5,1,5.6,3.5,706,615,501,365,865,1029,1131
PR004013,Women's,Medium,791,6,613,94,405,20,80,316,286,595,900,2,4,3,0,12.2,8.6,586,526,444,319,755,856,953
PR004014,Maximum Security,High,1243,8,970,66,287,23,43,235,222,418,617,8,9,1,2,49.3,42.5,968,909,888,789,995,1100,1146
PR004015,Remand,High,293,2,217,45,190,4,58,248,285,588,842,1,6,5,1,1.6,1.4,228,283,347,380,102,12,0
PR004016,Remand,Low,542,4,462,216,953,3,214,915,984,1965,2954,2,0,2,1,1.5,1.1,452,436,380,354,433,365,304
PR004017,Minimum Security,Low,576,3,461,41,211,9,55,236,243,493,721,2,3,0,1,26.4,16.0,475,472,494,548,412,377,334
PR004018,Remand,Low,973,6,819,193,839,12,171,775,812,1648,2485,7,3,3,0,4.1,3.2,800,763,690,642,854,858,861
PR004019,Maximum Security,High,820,5,779,41,138,9,22,94,102,204,329,6,4,2,5,48.5,35.8,769,732,699,632,831,869,873
PR004020,Juvenile,Medium,232,1,205,92,369,5,89,319,238,474,724,3,1,2,1,10.1,6.8,193,168,113,5,318,324,324
PR004021,Minimum Security,Low,572,2,560,90,395,7,82,338,402,806,1208,4,3,3,1,12.6,8.7,549,504,435,352,576,581,587
PR004022,Minimum Security,Low,221,2,164,30,101,4,31,124,113,222,348,2,2,1,1,17.2,14.9,173,192,169,240,165,159,134
PR004023,Minimum Security,Low,764,6,676,101,409,11,85,349,308,592,901,4,8,0,1,31.8,26.9,663,620,567,484,806,982,1069
PR004024,Women's,Low,585,3,491,92,415,11,142,606,540,1068,1606,6,3,4,5,13.6,10.5,534,676,760,760,370,252,181
PR004025,Women's,Medium,460,2,354,80,362,6,68,345,278,576,852,2,0,0,1,5.4,3.6,355,333,322,317,429,546,613
PR004026,Women's,Medium,766,6,586,96,485,9,119,497,661,1293,1915,5,2,0,0,24.5,13.8,589,593,591,592,457,321,218
PR004027,Juvenile,Medium,323,4,244,83,342,6,72,377,337,698,1073,0,0,0,2,22.8,18.7,254,276,338,330,249,210,213
PR004028,Juvenile,Medium,352,3,281,72,317,3,85,326,260,548,848,2,2,4,3,14.5,10.8,284,297,301,273,351,394,448
PR004029,Remand,Low,481,4,383,124,516,3,66,335,316,619,929,9,9,2,1,4.3,3.8,345,200,51,0,575,673,673
PR004030,Women's,Medium,673,4,569,136,511,6,165,697,659,1381,2037,4,2,0,2,19.8,12.1,609,747,874,874,414,227,24
PR004031,Remand,Low,439,3,360,90,418,3,94,395,406,807,1217,6,8,1,3,4.2,3.5,353,335,298,314,361,380,408
PR004032,Minimum Security,Low,750,5,405,60,340,8,63,265,257,516,781,13,6,3,2,7.2,5.6,383,335,235,139,481,590,621
PR004033,Remand,Medium,944,6,774,270,1164,16,282,1292,1321,2575,3869,11,5,4,2,2.3,1.7,800,895,1038,1146,685,665,621
PR004034,Remand,Medium,1098,8,819,160,685,18,192,799,812,1638,2494,6,2,2,3,3.0,2.5,848,916,1024,1131,731,614,453
PR004035,Maximum Security,High,434,2,403,27,132,1,32,126,130,280,429,6,0,4,5,9.9,8.2,407,401,374,379,397,383,378
PR004036,Minimum Security,Low,608,3,551,95,374,3,111,542,635,1217,1821,6,3,1,2,7.7,5.4,587,721,790,790,300,116,0
PR004037,Minimum Security,Low,780,5,529,34,183,3,33,163,215,388,573,11,3,3,4,9.8,7.0,525,502,497,432,502,473,471
PR004038,Women's,Low,509,3,475,119,532,5,82,400,310,652,960,5,2,2,0,5.9,3.6,441,348,179,38,711,712,712
PR004039,Minimum Security,Low,727,5,691,76,338,8,80,346,354,700,1043,3,7,2,2,18.6,14.7,695,704,694,754,681,660,684
PR004040,Women's,Low,136,1,114,23,90,3,16,89,93,179,266,2,2,1,1,6.1,4.5,118,117,113,64,127,169,190
PR004041,Remand,Medium,425,2,253,72,325,5,106,393,356,727,1081,2,2,2,2,1.8,1.1,271,312,388,479,201,137,95
PR004042,Women's,Medium,290,4,259,34,171,1,36,152,142,289,452,1,0,2,1,24.2,17.0,254,240,200,207,289,336,350
PR004043,Maximum Security,High,456,3,413,37,140,2,37,149,145,288,451,4,3,5,0,55.6,40.6,410,405,437,415,415,395,373
PR004044,Women's,Medium,748,6,723,104,421,9,86,368,403,865,1322,2,3,5,4,15.1,9.4,711,673,629,561,717,649,633
PR004045,Remand,High,647,5,540,221,991,2,276,1139,1182,2371,3558,5,2,1,1,0.9,0.8,572,682,841,841,295,88,0
PR004046,Minimum Security,Low,344,2,311,56,226,3,43,225,215,434,637,2,2,6,1,25.1,19.4,310,313,285,314,331,354,353
PR004047,Minimum Security,Low,379,2,285,45,153,12,47,180,155,324,488,4,3,1,1,11.6,10.3,284,300,338,343,295,239,227
PR004048,Minimum Security,Low,720,4,491,117,509,13,132,536,627,1218,1802,10,2,2,1,21.8,14.7,496,499,525,580,339,246,208
PR004049,Minimum Security,Low,278,4,226,17,88,2,22,86,62,139,202,3,0,2,1,16.9,9.7,229,236,199,211,256,263,329
PR004050,Juvenile,Low,315,2,250,47,235,6,61,210,231,463,681,2,0,2,1,7.6,4.5,248,232,206,134,221,211,201
PR004051,Women's,Medium,490,5,430,94,375,6,80,325,384,796,1185,1,7,3,2,31.9,27.5,422,379,343,311,430,393,402
PR004052,Juvenile,Low,301,2,277,68,340,4,96,405,367,735,1083,0,1,2,2,7.0,5.2,292,336,391,391,256,226,216
PR004053,Remand,Medium,1177,8,978,428,1734,25,473,2049,2200,4454,6695,8,4,1,1,2.8,1.8,1055,1278,1530,1530,544,52,0
PR004054,Remand,Medium,387,3,314,82,359,6,63,265,235,475,722,3,2,3,2,4.3,3.8,291,221,123,44,440,541,541
PR004055,Women's,Low,748,5,465,98,479,1,88,342,320,651,975,6,3,1,1,18.8,12.5,426,326,183,33,627,788,938
PR004056,Women's,Medium,149,1,135,30,148,6,33,152,131,265,397,0,1,1,2,24.8,17.0,140,139,160,156,131,114,175
PR004057,Minimum Security,Low,902,6,604,101,397,21,132,635,734,1409,2141,12,3,2,1,21.5,14.2,660,837,1075,1172,304,53,0
PR004058,Women's,Medium,226,1,174,27,93,4,35,154,131,243,362,2,6,4,1,18.4,11.4,188,229,293,293,138,116,136
PR004059,Minimum Security,Low,479,4,408,23,114,11,50,194,178,323,486,2,5,2,2,3.0,2.6,427,481,578,622,372,362,352
PR004060,Women's,Low,203,2,199,44,159,3,41,146,124,238,371,1,0,2,6,4.1,2.8,194,179,178,161,213,255,280
PR004061,Women's,Low,168,2,154,22,88,1,15,78,62,133,197,0,3,1,1,4.5,2.5,147,143,137,140,191,210,192
PR004062,Juvenile,Low,209,1,171,52,237,6,40,144,154,296,442,1,0,6,3,16.8,14.1,147,74,0,0,243,292,292
PR004063,Minimum Security,Low,682,5,520,57,251,1,54,199,191,373,556,8,8,0,1,6.6,3.8,503,467,418,361,568,650,775
PR004064,Remand,Medium,381,3,330,162,612,8,136,613,592,1216,1832,2,2,1,2,0.9,0.6,322,337,344,307,364,359,431
PR004065,Maximum Security,Medium,752,5,595,23,127,6,24,103,108,225,329,8,5,5,2,160.5,123.1,589,562,533,514,587,603,598
PR004066,Women's,Low,346,4,309,44,177,8,49,243,224,451,684,1,3,1,0,14.0,7.8,324,382,433,449,274,170,157
PR004067,Minimum Security,Low,618,5,549,51,189,10,43,229,211,441,655,3,8,2,2,0.9,0.8,554,602,653,691,506,473,421
PR004068,Juvenile,Medium,139,1,94,25,113,1,16,86,106,220,321,0,1,2,1,6.2,5.5,89,73,35,0,91,70,81
PR004069,Women's,Medium,800,7,770,99,403,5,86,351,403,799,1183,6,6,0,3,10.6,7.3,756,714,686,563,776,780,797
PR004070,Minimum Security,Medium,735,5,619,79,337,10,71,266,251,503,765,7,8,3,1,11.7,8.0,605,561,496,401,723,800,878
PR004071,Minimum Security,Low,484,5,312,48,188,5,66,287,281,582,886,3,5,2,1,13.7,10.8,339,424,499,600,216,92,14
PR004072,Remand,Medium,483,1,449,174,785,6,145,632,704,1368,2065,4,9,0,0,1.3,1.1,417,298,148,22,494,562,656
PR004073,Remand,Medium,706,4,635,160,725,15,200,829,886,1765,2648,4,12,1,2,0.9,0.7,663,739,873,917,504,346,168
PR004074,Minimum Security,Low,761,5,549,80,313,4,84,396,338,678,1037,6,6,0,4,16.0,11.6,573,628,691,809,584,572,616
PR004075,Maximum Security,Medium,881,4,748,78,320,9,51,239,286,596,860,5,2,4,1,61.4,38.2,727,667,568,489,784,790,810
PR004076,Remand,Low,1042,7,635,151,635,14,164,717,737,1408,2069,4,10,0,1,5.4,4.1,658,707,801,903,499,472,436
PR004077,Remand,High,663,4,614,247,1207,10,310,1277,1273,2545,3786,5,6,3,2,9.6,5.3,638,671,751,851,524,454,360
PR004078,Remand,High,605,2,458,261,1080,5,301,1243,1269,2584,3899,2,6,1,0,1.5,0.9,498,626,786,786,275,49,0
PR004079,Minimum Security,Low,338,1,327,41,146,6,41,173,175,331,515,6,1,0,1,9.2,5.4,334,356,360,369,322,325,286
PR004080,Remand,Medium,1057,8,688,264,1091,23,319,1355,1395,2722,4074,7,10,1,2,2.6,2.2,747,956,1218,1374,444,303,101
PR004081,Minimum Security,Low,459,4,366,49,185,9,33,150,191,389,605,8,3,1,1,5.2,3.1,353,323,292,265,391,412,435
PR004082,Minimum Security,Low,231,1,149,32,106,4,39,195,124,270,431,4,4,3,4,9.9,8.3,174,226,300,300,124,92,88
PR004083,Juvenile,Medium,167,1,149,40,161,5,24,135,112,235,363,3,0,3,2,23.3,13.3,140,117,72,42,216,233,233
PR004084,Minimum Security,Low,323,3,189,28,174,6,28,132,177,354,528,2,2,3,3,44.2,27.4,174,152,117,68,205,210,207
PR004085,Remand,Medium,493,1,411,173,720,2,228,929,873,1800,2711,4,5,1,0,0.5,0.4,453,618,640,640,281,69,0
PR004086,Women's,Low,115,1,111,25,101,4,29,98,111,205,313,0,0,5,2,18.8,14.5,110,114,116,107,118,138,105
PR004087,Remand,Medium,598,2,574,203,838,11,181,796,841,1708,2579,2,7,0,2,4.3,3.0,571,545,514,440,583,534,525
PR004088,Remand,Medium,486,5,451,111,568,14,133,537,538,1069,1589,4,3,2,1,2.7,2.1,448,423,365,356,481,537,564
PR004089,Maximum Security,High,1201,9,938,48,164,9,33,140,156,286,431,8,12,1,2,79.7,63.1,929,921,880,855,934,960,1013
PR004090,Minimum Security,Medium,244,1,168,27,105,4,22,76,97,172,253,2,3,3,2,22.4,19.0,160,143,102,84,157,184,267
PR004091,Maximum Security,High,1118,7,1023,89,392,10,108,458,401,774,1172,1,8,1,1,53.3,47.1,1038,1098,1185,1271,980,973,910
PR004092,Women's,Medium,754,5,719,80,331,15,82,333,369,711,1084,7,6,3,3,1.6,1.4,725,720,714,690,693,704,694
PR004093,Women's,High,152,1,101,12,58,0,17,74,52,116,166,2,1,1,1,36.8,22.7,107,118,141,167,119,96,146
PR004094,Minimum Security,Medium,578,4,427,31,174,7,30,126,88,201,289,7,2,2,3,9.4,6.5,413,376,349,286,497,558,632
PR004095,Minimum Security,Low,258,2,231,34,144,2,27,113,128,250,365,2,2,3,3,20.6,13.1,225,201,176,146,248,298,361
PR004096,Minimum Security,Low,385,1,302,38,153,4,49,178,166,328,496,2,1,1,3,2.3,1.9,304,333,358,376,286,318,287
PR004097,Remand,High,354,3,286,187,721,6,187,782,796,1611,2432,1,1,1,3,7.1,5.1,304,347,406,460,190,110,0
PR004098,Remand,Medium,804,5,474,202,885,15,220,938,1092,2122,3119,2,8,1,1,3.0,1.7,488,522,588,601,282,168,76
PR004099,Juvenile,Medium,400,4,247,63,267,4,90,357,351,698,1036,8,1,2,3,4.4,3.5,269,335,409,507,170,116,59
PR004100,Women's,Low,111,1,98,27,93,2,23,92,94,183,263,0,1,0,2,16.0,12.5,101,107,98,120,83,84,102
PR004101,Minimum Security,Medium,587,3,417,57,224,2,45,161,124,284,449,3,1,0,2,10.3,7.3,400,355,287,224,508,551,639
PR004102,Juvenile,Medium,193,1,170,54,237,2,49,238,280,572,861,2,0,1,2,4.3,3.0,169,162,181,138,144,75,51
PR004103,Remand,Low,1171,7,722,177,750,23,169,678,694,1395,2068,3,6,5,3,0.7,0.6,707,654,559,510,773,810,886
PR004104,Minimum Security,Low,750,5,564,40,163,8,45,187,161,320,458,9,9,1,1,42.4,29.0,570,571,600,642,535,539,522
PR004105,Women's,Medium,105,2,67,6,29,0,13,33,29,56,88,1,2,1,3,5.6,3.9,67,68,70,61,66,55,55
PR004106,Maximum Security,High,604,4,552,43,180,13,25,109,96,202,291,2,3,1,3,35.9,27.1,539,484,426,348,641,682,807
PR004107,Juvenile,Medium,219,1,162,39,181,1,55,183,158,326,472,0,1,0,2,13.1,9.9,168,174,158,153,188,200,210
PR004108,Juvenile,Medium,223,1,175,24,104,1,38,167,165,292,448,1,3,3,1,20.4,12.4,188,233,281,289,113,118,37
PR004109,Women's,Medium,641,3,621,140,630,5,156,601,635,1274,1924,1,0,3,0,3.9,3.2,610,597,555,538,663,734,714
PR004110,Remand,Medium,494,4,469,210,1015,15,294,1146,1219,2489,3735,6,2,2,2,0.5,0.4,503,583,642,642,287,89,0
PR004111,Minimum Security,Low,219,2,173,28,128,2,20,104,100,220,343,3,3,0,0,16.3,9.8,168,147,117,123,184,191,214
PR004112,Women's,Low,227,2,183,39,165,1,38,149,156,304,422,0,0,1,1,7.2,6.0,181,161,160,143,188,184,214
PR004113,Women's,Low,177,1,132,19,86,1,7,43,49,100,155,1,0,1,0,18.5,16.3,117,82,40,30,157,188,247
PR004114,Remand,Medium,318,1,169,58,261,8,43,201,164,303,451,4,1,1,0,2.6,1.4,154,93,33,0,242,366,400
PR004115,Women's,Low,678,4,404,88,322,15,70,341,321,646,965,6,9,2,1,4.2,3.4,407,418,444,489,427,397,439
PR004116,Minimum Security,Low,772,5,626,131,536,9,102,471,417,876,1347,1,3,1,7,27.1,21.4,611,561,493,408,765,838,907
PR004117,Remand,Medium,1139,7,942,332,1412,21,270,1104,863,1784,2681,6,6,1,4,1.4,0.8,868,623,321,2,1479,1594,1594
PR004118,Women's,Medium,549,5,456,96,388,5,112,440,438,856,1281,5,1,2,1,6.2,4.3,466,496,554,594,427,384,355
PR004119,Minimum Security,Low,615,4,429,75,377,7,109,419,466,957,1435,6,3,4,1,25.4,14.0,441,487,498,565,338,206,114
PR004120,Remand,Medium,351,2,231,113,439,2,136,552,547,1093,1656,1,2,5,1,3.8,2.3,265,351,456,456,119,0,0
PR004121,Women's,Low,346,2,277,52,207,8,47,244,292,563,849,6,2,6,1,11.5,9.3,277,308,380,367,215,172,77
PR004122,Women's,Low,637,4,476,115,485,6,136,530,521,1049,1602,5,2,1,2,14.1,9.3,484,524,556,602,462,412,380
PR004123,Women's,Low,732,4,580,105,465,6,136,548,686,1300,1955,6,2,2,1,14.6,11.2,597,665,743,814,350,213,0
PR004124,Minimum Security,Low,206,1,151,26,94,1,33,104,82,189,270,0,1,0,1,6.8,5.0,159,160,213,192,163,162,195
PR004125,Women's,Medium,475,5,363,35,159,5,23,120,125,277,416,7,3,2,2,13.9,11.8,355,308,278,254,411,445,483
PR004126,Minimum Security,Low,277,2,228,33,120,5,30,109,110,226,331,1,6,2,0,9.7,7.2,229,226,215,199,223,231,197
PR004127,Remand,Medium,296,2,277,63,241,3,43,222,279,546,818,2,0,0,0,2.5,2.0,271,266,229,228,249,207,266
PR004128,Remand,Medium,950,6,756,219,902,3,200,807,701,1360,2054,4,3,4,3,5.3,3.1,733,668,547,458,1012,1298,1330
PR004129,Women's,Low,720,6,621,86,320,4,81,334,360,711,1058,6,1,1,5,14.5,12.5,621,610,644,631,573,562,539
PR004130,Women's,Low,341,1,250,26,109,4,49,178,190,372,553,5,3,2,3,21.7,18.2,264,320,384,432,179,111,63
PR004131,Juvenile,Medium,173,1,167,68,241,1,68,274,221,444,692,1,2,2,2,7.0,4.8,177,200,224,224,190,199,236
PR004132,Remand,Medium,398,3,274,128,497,3,74,337,306,606,952,1,4,1,0,4.8,3.1,242,99,0,0,474,557,557
PR004133,Remand,Medium,1197,7,867,363,1513,9,411,1813,1796,3513,5186,12,18,3,0,2.8,1.9,941,1172,1493,1556,566,329,146
PR004134,Remand,Medium,657,3,613,301,1219,6,237,1034,1115,2313,3432,5,5,1,2,3.3,2.9,567,434,237,45,654,612,655
PR004135,Remand,Low,887,5,793,181,818,17,124,484,559,1099,1628,3,7,0,1,3.4,3.0,723,459,118,0,1072,1241,1241
PR004136,Maximum Security,High,1128,8,1016,101,434,19,116,498,482,994,1455,4,10,1,1,65.4,58.1,1032,1083,1174,1209,944,848,791
PR004137,Remand,High,448,3,407,203,897,3,231,965,1026,1961,2921,6,2,5,2,8.7,6.3,423,480,533,582,310,287,239
PR004138,Women's,Medium,705,4,594,133,462,16,117,443,447,857,1290,7,5,1,2,16.1,10.4,593,562,561,547,622,762,798
PR004139,Juvenile,Medium,101,1,97,41,159,0,41,161,128,244,352,1,1,2,2,13.1,8.1,97,110,105,131,131,141,141
PR004140,Women's,Low,550,3,451,80,297,7,82,316,402,740,1116,1,8,6,1,9.5,5.3,456,474,510,533,358,345,283
PR004141,Minimum Security,Medium,964,5,818,69,292,5,47,220,157,346,542,7,5,5,1,25.5,15.5,800,749,685,602,947,1041,1165
PR004142,Remand,High,451,2,365,144,748,6,154,669,653,1330,1990,2,4,3,4,1.6,1.0,346,295,251,123,413,442,463
PR004143,Maximum Security,High,436,3,264,27,119,11,22,81,93,188,276,2,3,1,1,42.0,24.8,256,234,208,157,274,301,332
PR004144,Minimum Security,Low,560,3,400,51,243,3,82,291,297,583,874,7,3,0,0,4.8,2.7,411,445,465,513,360,307,306
PR004145,Remand,Medium,990,7,974,326,1485,6,442,1877,1657,3303,5023,4,4,3,0,0.8,0.7,1063,1287,1287,1287,904,801,630
PR004146,Minimum Security,Low,940,7,771,66,288,23,76,330,368,720,1055,4,4,3,2,9.6,6.1,782,815,856,890,680,598,570
PR004147,Maximum Security,High,521,3,324,24,77,8,10,60,48,102,147,8,3,2,2,31.6,24.6,318,279,267,279,367,388,471
PR004148,Juvenile,Medium,126,4,115,35,114,0,23,115,89,193,297,3,1,1,3,3.9,2.3,113,113,128,94,153,174,146
PR004149,Remand,Low,734,5,649,398,1625,5,349,1499,1550,3237,4937,4,6,0,1,6.5,4.6,620,519,403,263,720,656,605
PR004150,Remand,Medium,1121,7,618,152,714,10,119,470,478,964,1458,10,7,2,2,2.7,1.9,564,347,116,0,903,1171,1411
PR004151,Minimum Security,Low,612,3,520,55,230,1,52,209,184,357,541,2,3,0,0,10.7,6.0,514,494,465,457,572,651,684
PR004152,Remand,Medium,1126,7,727,140,585,12,160,728,641,1284,1897,5,8,3,3,6.5,4.7,761,871,997,1134,663,634,578
PR004153,Remand,Medium,820,5,756,325,1417,19,390,1733,1622,3277,4898,13,4,0,1,3.6,2.8,822,1058,1066,1066,611,423,244
PR004154,Remand,High,992,7,878,191,815,6,206,831,880,1777,2684,7,10,4,1,0.7,0.5,889,899,914,971,839,736,681
PR004155,Remand,Low,1062,6,831,210,1014,9,273,1255,1085,2236,3301,6,5,1,1,0.5,0.4,882,1061,1298,1380,761,581,516
PR004156,Maximum Security,High,1245,9,800,67,296,21,76,327,364,726,1062,4,8,0,2,56.4,46.9,811,842,888,894,732,645,573
PR004157,Women's,Low,248,2,171,26,116,2,9,64,78,147,217,0,1,2,1,24.6,18.3,161,136,70,11,203,260,243
PR004158,Maximum Security,High,1382,10,760,39,187,22,37,168,207,398,589,10,8,2,1,29.8,23.2,760,721,713,686,765,786,791
PR004159,Remand,Medium,803,6,683,306,1342,12,265,1109,1321,2570,3868,3,3,2,4,1.7,1.1,630,454,210,43,700,804,848
PR004160,Minimum Security,Low,305,2,266,32,126,5,33,122,134,287,423,3,4,4,1,21.0,16.8,270,267,265,259,252,236,198
PR004161,Remand,Medium,1011,8,375,88,423,17,93,396,415,826,1236,11,4,0,0,4.8,2.9,367,342,303,273,453,503,545
PR004162,Minimum Security,Low,783,6,666,164,649,3,162,683,784,1563,2325,2,7,0,1,16.9,11.0,674,704,762,784,564,456,382
PR004163,Women's,Low,540,4,479,63,279,4,62,251,263,500,735,5,7,1,4,15.7,9.0,472,454,422,415,514,562,621
PR004164,Minimum Security,Low,582,4,414,54,263,6,82,318,304,666,1001,3,1,3,2,10.8,7.1,426,460,509,560,353,240,153
PR004165,Remand,Medium,275,2,156,57,199,3,40,178,166,325,470,3,1,2,1,10.9,8.5,151,123,131,84,158,174,195
PR004166,Minimum Security,Low,502,5,352,61,253,11,80,358,327,640,959,1,3,2,2,26.4,16.3,381,468,584,652,309,287,253
PR004167,Maximum Security,Medium,1129,8,823,32,146,13,42,172,126,261,392,14,13,2,3,51.7,36.5,830,845,851,896,851,850,913
PR004168,Remand,Medium,400,3,333,109,506,5,121,508,523,1083,1657,3,2,1,2,1.1,0.9,330,338,326,330,337,299,240
