Age,Gender,Sentence Type,education_level,Sentence_duration_months,Incident_count,violent_incidents_count,escape_incidents_count,Recidivism_score
49,Male,Cybercrime,Bachelor's,12,10,4,0,36.0
63,Female,Sexual Offense,Preparatory,105,8,1,2,63.3
25,Male,Fraud,Secondary,45,8,2,2,59.0
40,Male,Vandalism,Secondary,19,11,3,2,47.5
38,Male,Robbery,Primary,42,13,1,2,66.9
56,Male,Cybercrime,Secondary,44,9,3,0,33.5
43,Male,Kidnapping,Secondary,279,9,0,1,61.3
20,Male,Assault,Secondary,70,9,2,1,56.3
55,Male,Theft,Primary,5,11,3,1,36.8
53,Female,Drug Offense,Bachelor's,25,9,0,2,36.1
47,Male,Arson,Primary,119,15,2,0,63.1
23,Male,Assault,Illiterate,50,12,1,1,74.1
31,Female,Assault,Bachelor's,81,8,3,2,61.3
19,Male,Theft,Preparatory,17,11,2,3,66.0
63,Male,Theft,Bachelor's,22,5,1,0,13.0
26,Male,Drug Offense,Secondary,46,10,3,3,66.9
24,Male,Assault,Secondary,116,8,3,1,59.4
32,Male,Theft,Secondary,18,13,5,3,72.3
29,Male,Assault,Primary,25,15,4,1,76.6
24,Female,Theft,Secondary,21,11,4,3,70.8
35,Male,Arson,Secondary,70,12,1,2,51.8
27,Male,Drug Offense,Literate,47,8,3,0,50.6
33,Male,Arson,Illiterate,112,11,1,1,70.4
37,Male,Fraud,Bachelor's,23,9,0,0,18.2
25,Male,Assault,Secondary,67,9,3,2,72.7
44,Female,Theft,Secondary,21,8,0,0,29.1
24,Male,Fraud,Secondary,20,8,3,2,57.4
30,Male,Robbery,Bachelor's,53,6,2,1,45.5
37,Male,Public Order,Secondary,20,10,4,1,50.9
21,Male,Vandalism,Preparatory,7,14,1,3,69.3
60,Female,Arson,Illiterate,61,14,0,1,61.2
38,Male,Drug Offense,Primary,85,10,0,3,66.2
55,Female,Theft,Bachelor's,18,9,0,0,21.7
48,Male,Fraud,Secondary,66,4,1,0,28.3
56,Male,Burglary,Primary,26,9,3,1,51.0
52,Male,Murder,Illiterate,213,13,3,4,100.0
58,Male,Vandalism,Primary,4,16,5,0,52.1
57,Male,Vandalism,Primary,20,12,0,1,42.0
59,Male,Theft,Illiterate,30,6,1,0,31.2
61,Male,Kidnapping,Primary,168,11,4,0,64.6
30,Male,Drug Offense,Preparatory,41,11,2,0,47.4
33,Male,Assault,Literate,118,7,0,0,54.6
51,Male,Weapons Offense,Primary,28,15,4,0,63.8
50,Male,Vandalism,Secondary,14,11,3,2,52.2
36,Male,Murder,Preparatory,248,11,2,1,71.6
53,Male,Theft,Primary,24,11,0,1,40.8
19,Male,Fraud,Postgraduate education,83,11,1,0,35.4
58,Female,Assault,Secondary,71,7,0,1,39.8
56,Male,Public Order,Preparatory,21,9,2,1,38.2
18,Male,Assault,Bachelor's,78,5,1,1,49.6
36,Male,Robbery,Illiterate,96,12,4,1,74.0
43,Male,Burglary,Literate,47,15,2,5,87.2
51,Male,Theft,Secondary,40,4,1,0,23.3
39,Male,Murder,Bachelor's,288,10,1,3,75.3
35,Female,Kidnapping,Secondary,222,9,3,0,59.9
60,Male,Public Order,Preparatory,19,10,4,2,50.7
52,Male,Burglary,Illiterate,56,9,0,1,45.2
24,Male,Vandalism,Secondary,30,11,1,3,57.3
55,Male,Vandalism,Secondary,8,13,1,4,60.2
23,Male,Arson,Secondary,69,8,2,0,43.8
63,Female,Assault,Primary,85,7,0,1,45.7
40,Male,Sexual Offense,Illiterate,182,7,2,0,60.3
22,Male,Assault,Bachelor's,111,12,3,2,75.8
24,Male,Drug Offense,Primary,35,10,0,3,74.0
31,Male,Burglary,Postgraduate education,51,9,1,2,47.2
58,Female,Murder,Primary,322,14,3,2,79.6
38,Male,Theft,Primary,29,8,3,2,51.4
44,Male,Murder,Bachelor's,428,6,1,1,54.9
39,Male,Theft,Secondary,19,10,2,3,55.0
29,Male,Assault,Preparatory,113,14,0,3,76.9
52,Male,Cybercrime,Secondary,13,10,3,3,51.0
37,Female,Vandalism,Primary,18,14,5,0,55.3
52,Male,Sexual Offense,Preparatory,140,8,1,2,59.6
42,Female,Robbery,Postgraduate education,45,17,5,4,80.6
58,Male,Arson,Preparatory,72,8,1,1,46.1
54,Male,Kidnapping,Bachelor's,133,7,2,0,44.8
60,Male,Robbery,Primary,38,8,3,1,57.0
64,Male,Theft,Illiterate,12,11,1,2,47.6
46,Male,Fraud,Primary,38,9,1,1,44.6
18,Male,Drug Offense,Preparatory,59,14,2,3,76.6
27,Female,Weapons Offense,Preparatory,68,10,2,3,69.3
51,Male,Assault,Bachelor's,73,8,1,0,42.4
38,Male,Theft,Primary,30,14,1,0,42.1
31,Male,Drug Offense,Primary,88,9,2,2,68.4
34,Male,Vandalism,Preparatory,18,6,1,1,46.8
32,Male,Theft,Postgraduate education,15,11,0,1,31.6
32,Male,Drug Offense,Illiterate,18,8,0,0,46.4
46,Female,Vandalism,Bachelor's,22,10,0,3,39.6
35,Male,Assault,Bachelor's,46,15,2,1,57.6
61,Male,Theft,Primary,28,8,0,1,28.1
46,Male,Sexual Offense,Preparatory,237,9,0,1,61.4
56,Male,Assault,Secondary,71,12,5,3,73.6
57,Male,Robbery,Primary,72,7,2,0,46.1
50,Male,Theft,Primary,15,12,5,3,58.1
46,Male,Vandalism,Bachelor's,4,11,4,3,54.7
33,Male,Assault,Secondary,60,7,1,0,34.8
19,Male,Theft,Bachelor's,33,11,4,1,47.5
44,Male,Theft,Secondary,25,9,1,1,40.3
30,Male,Theft,Secondary,16,18,5,5,92.4
59,Male,Theft,Secondary,5,14,1,0,29.2
59,Male,Murder,Primary,197,8,0,2,65.0
44,Male,Fraud,Preparatory,42,10,3,1,52.9
65,Male,Robbery,Primary,138,7,1,1,43.6
39,Male,Assault,Primary,47,8,1,1,56.5
30,Male,Theft,Preparatory,5,7,0,0,36.2
58,Male,Weapons Offense,Secondary,28,10,0,2,42.9
34,Male,Vandalism,Secondary,8,9,0,1,37.1
22,Male,Burglary,Primary,60,8,2,2,67.7
60,Male,Assault,Illiterate,112,10,2,1,61.3
56,Male,Drug Offense,Preparatory,52,10,4,1,56.9
23,Male,Theft,Bachelor's,35,15,3,1,56.4
31,Male,Assault,Bachelor's,75,8,1,1,48.6
45,Male,Kidnapping,Preparatory,228,8,0,2,70.1
23,Male,Arson,Preparatory,98,9,2,1,67.8
60,Male,Sexual Offense,Secondary,201,10,3,0,62.0
43,Male,Vandalism,Bachelor's,12,12,1,3,47.9
63,Male,Kidnapping,Secondary,214,4,1,0,48.5
43,Male,Drug Offense,Preparatory,79,7,2,1,47.0
59,Male,Robbery,Literate,65,8,3,1,64.5
62,Male,Sexual Offense,Secondary,143,7,2,0,48.6
49,Male,Robbery,Illiterate,71,11,3,3,77.3
48,Male,Drug Offense,Preparatory,31,18,4,2,76.5
22,Male,Fraud,Primary,23,10,4,1,65.8
52,Male,Theft,Preparatory,31,8,0,1,25.6
33,Male,Drug Offense,Illiterate,70,6,2,0,54.8
64,Male,Robbery,Primary,74,16,6,4,94.2
37,Male,Theft,Primary,19,8,3,2,56.7
36,Male,Weapons Offense,Secondary,45,11,2,2,64.8
64,Male,Assault,Secondary,69,10,4,0,52.0
23,Male,Kidnapping,Secondary,224,4,1,0,44.5
44,Male,Cybercrime,Preparatory,25,6,2,1,38.9
24,Male,Public Order,Bachelor's,3,6,1,1,34.2
50,Male,Theft,Primary,26,11,3,1,43.4
30,Male,Weapons Offense,Preparatory,64,9,2,2,68.3
52,Male,Fraud,Bachelor's,79,6,0,1,27.9
52,Male,Burglary,Literate,47,11,3,2,56.5
56,Male,Cybercrime,Secondary,9,6,1,1,32.4
54,Male,Sexual Offense,Secondary,115,10,1,2,63.8
28,Female,Murder,Preparatory,364,9,3,1,74.5
51,Male,Public Order,Literate,15,10,4,0,34.9
40,Male,Burglary,Preparatory,72,11,0,2,54.8
24,Male,Robbery,Secondary,109,12,0,0,59.4
23,Male,Sexual Offense,Illiterate,110,5,1,1,69.9
30,Female,Theft,Primary,27,6,1,1,40.7
30,Male,Sexual Offense,Postgraduate education,140,6,1,0,42.6
37,Female,Theft,Secondary,26,11,2,1,50.8
54,Male,Vandalism,Postgraduate education,6,11,1,3,34.9
55,Male,Theft,Illiterate,23,17,0,2,58.1
27,Male,Burglary,Illiterate,17,6,0,1,37.4
36,Male,Theft,Primary,24,8,1,1,37.7
59,Male,Burglary,Illiterate,16,12,0,2,49.8
38,Male,Burglary,Secondary,30,9,3,0,40.1
18,Male,Assault,Secondary,36,8,0,0,50.8
21,Male,Cybercrime,Preparatory,45,6,2,0,42.1
53,Male,Arson,Primary,88,9,2,2,54.9
65,Male,Assault,Secondary,63,14,0,4,67.8
38,Female,Robbery,Secondary,130,12,0,1,52.0
29,Male,Theft,Preparatory,42,10,0,0,35.1
56,Male,Theft,Preparatory,46,10,1,3,41.5
23,Female,Weapons Offense,Secondary,26,9,0,1,52.2
44,Female,Weapons Offense,Secondary,72,8,0,1,39.9
62,Male,Theft,Bachelor's,47,13,1,1,36.7
64,Male,Theft,Secondary,11,9,0,1,32.2
65,Male,Assault,Preparatory,88,5,1,1,45.7
26,Male,Theft,Secondary,25,15,0,2,52.0
58,Male,Drug Offense,Preparatory,91,13,0,3,63.5
54,Male,Public Order,Illiterate,7,9,1,0,40.2
58,Male,Murder,Bachelor's,224,16,0,1,57.8
65,Male,Fraud,Primary,57,13,5,2,63.2
49,Male,Theft,Secondary,6,7,1,0,28.4
63,Male,Theft,Illiterate,44,14,4,2,68.7
60,Male,Vandalism,Secondary,34,10,0,1,30.3
65,Male,Vandalism,Secondary,10,8,3,1,28.0
27,Male,Theft,Primary,48,10,4,0,54.6
20,Male,Public Order,Bachelor's,21,11,4,2,54.7
19,Male,Theft,Secondary,36,11,4,3,72.3
43,Male,Fraud,Primary,15,14,6,1,70.3
29,Male,Vandalism,Primary,29,8,1,2,47.3
40,Male,Cybercrime,Primary,57,9,3,0,44.2
43,Male,Drug Offense,Primary,86,17,6,4,90.7
19,Male,Theft,Preparatory,40,9,3,2,57.3
50,Male,Fraud,Secondary,38,11,3,2,55.3
20,Male,Fraud,Secondary,57,8,1,2,54.1
45,Male,Burglary,Secondary,45,15,2,5,82.0
50,Female,Assault,Bachelor's,68,14,4,2,69.8
45,Male,Weapons Offense,Secondary,54,7,2,0,33.4
22,Male,Drug Offense,Illiterate,94,11,1,1,66.5
26,Female,Theft,Secondary,8,11,4,2,61.6
24,Male,Cybercrime,Secondary,6,12,0,2,52.2
35,Male,Murder,Secondary,408,9,3,1,70.6
23,Male,Drug Offense,Primary,14,13,5,0,71.1
31,Male,Arson,Secondary,102,11,0,1,53.0
55,Male,Arson,Secondary,107,8,3,0,47.8
28,Female,Murder,Primary,242,12,4,3,100.0
34,Male,Murder,Illiterate,365,7,0,0,73.1
32,Male,Theft,Primary,25,11,0,1,49.4
23,Female,Fraud,Primary,19,13,1,1,58.8
54,Male,Burglary,Secondary,37,8,1,1,35.4
49,Male,Murder,Bachelor's,444,10,3,3,91.5
43,Male,Assault,Secondary,66,12,5,0,62.5
42,Male,Theft,Bachelor's,26,15,6,5,79.3
60,Female,Assault,Primary,44,16,2,4,84.9
51,Female,Sexual Offense,Bachelor's,124,11,4,3,79.7
51,Male,Burglary,Primary,39,13,5,4,80.6
50,Male,Assault,Secondary,111,14,5,2,62.5
45,Male,Fraud,Preparatory,14,10,1,2,44.1
57,Female,Robbery,Secondary,64,12,0,1,47.9
48,Female,Kidnapping,Secondary,267,10,0,2,73.8
48,Male,Theft,Primary,15,7,1,0,37.1
23,Female,Robbery,Primary,136,10,4,3,80.7
63,Male,Drug Offense,Bachelor's,91,13,2,2,54.9
49,Male,Sexual Offense,Postgraduate education,118,7,0,1,44.8
61,Male,Drug Offense,Postgraduate education,61,12,3,1,41.7
61,Female,Weapons Offense,Preparatory,65,7,2,0,37.1
25,Male,Drug Offense,Secondary,91,8,3,0,43.2
49,Male,Robbery,Primary,88,12,4,2,68.3
40,Male,Theft,Primary,44,10,4,0,49.2
45,Male,Theft,Preparatory,36,8,1,2,43.6
56,Male,Weapons Offense,Illiterate,30,5,0,0,35.2
54,Female,Fraud,Preparatory,35,5,1,0,26.4
21,Male,Fraud,Primary,16,15,4,0,62.9
23,Male,Robbery,Preparatory,117,8,1,2,63.5
27,Male,Robbery,Literate,71,9,0,0,48.1
52,Male,Burglary,Secondary,50,7,2,1,34.3
28,Male,Fraud,Illiterate,78,14,2,4,79.0
34,Male,Sexual Offense,Bachelor's,225,10,1,0,51.1
20,Male,Vandalism,Primary,22,7,0,1,48.7
53,Male,Vandalism,Primary,17,10,1,3,55.5
46,Male,Fraud,Bachelor's,63,11,1,2,46.5
43,Female,Assault,Bachelor's,65,5,1,1,37.6
34,Male,Cybercrime,Primary,43,9,1,0,49.3
27,Female,Theft,Bachelor's,34,8,3,0,40.1
35,Female,Vandalism,Preparatory,11,11,2,1,45.9
49,Male,Drug Offense,Secondary,62,12,1,2,56.9
62,Male,Robbery,Secondary,49,15,1,4,70.3
56,Male,Sexual Offense,Bachelor's,185,11,2,0,51.0
44,Male,Drug Offense,Secondary,76,13,1,0,47.3
41,Male,Burglary,Illiterate,68,15,1,0,60.6
40,Female,Sexual Offense,Bachelor's,151,10,2,1,64.7
53,Male,Theft,Preparatory,24,12,5,0,43.7
38,Male,Theft,Literate,14,15,4,4,80.1
44,Male,Weapons Offense,Preparatory,85,11,4,0,57.7
59,Male,Robbery,Preparatory,93,9,1,1,48.6
53,Male,Vandalism,Bachelor's,24,9,2,0,24.6
23,Male,Cybercrime,Secondary,12,14,0,2,57.3
56,Male,Assault,Preparatory,32,9,3,2,63.9
27,Male,Drug Offense,Primary,51,12,0,0,48.6
56,Male,Robbery,Secondary,90,6,2,0,39.0
35,Male,Burglary,Secondary,60,11,3,2,63.2
33,Male,Drug Offense,Secondary,72,6,0,0,40.5
35,Male,Assault,Preparatory,64,4,1,0,36.9
55,Female,Assault,Preparatory,62,12,1,2,52.0
64,Male,Drug Offense,Secondary,93,16,1,0,47.9
37,Male,Arson,Preparatory,120,11,1,2,60.2
49,Male,Vandalism,Secondary,14,9,0,0,29.8
27,Male,Vandalism,Primary,6,7,0,0,27.6
49,Male,Weapons Offense,Primary,38,8,2,2,62.6
40,Male,Drug Offense,Preparatory,18,17,4,2,77.3
60,Male,Theft,Primary,19,10,3,2,53.8
47,Male,Burglary,Primary,28,12,0,2,56.7
33,Male,Vandalism,Secondary,33,10,0,2,43.1
26,Male,Weapons Offense,Preparatory,88,11,2,1,62.6
39,Male,Theft,Primary,44,11,4,3,70.3
64,Male,Robbery,Preparatory,78,21,8,3,92.7
59,Male,Burglary,Secondary,21,9,0,1,35.8
33,Male,Assault,Postgraduate education,68,7,1,0,30.4
53,Male,Arson,Secondary,80,13,3,3,70.6
49,Male,Robbery,Preparatory,100,15,3,5,96.9
24,Male,Fraud,Literate,79,12,2,3,77.2
34,Male,Theft,Primary,13,8,0,2,50.8
33,Male,Kidnapping,Secondary,283,7,2,1,68.7
37,Male,Robbery,Preparatory,68,5,1,1,40.9
43,Male,Public Order,Preparatory,23,7,0,0,29.5
24,Male,Public Order,Secondary,16,15,2,5,79.6
64,Male,Vandalism,Primary,21,8,0,0,28.2
25,Male,Sexual Offense,Secondary,106,6,0,0,48.1
51,Male,Assault,Primary,115,8,0,1,53.2
43,Male,Assault,Primary,73,4,0,0,36.3
24,Male,Assault,Secondary,27,16,7,3,95.4
60,Male,Arson,Preparatory,40,7,1,1,46.6
42,Male,Vandalism,Primary,5,3,0,0,26.0
49,Male,Sexual Offense,Literate,231,9,2,0,62.5
38,Male,Theft,Bachelor's,12,9,2,2,33.0
25,Male,Fraud,Secondary,42,9,2,1,45.7
60,Male,Vandalism,Secondary,31,7,0,0,16.4
43,Male,Fraud,Primary,66,5,0,0,28.8
49,Female,Fraud,Secondary,57,13,1,4,65.5
63,Male,Fraud,Preparatory,70,13,4,2,55.3
26,Male,Assault,Primary,34,8,1,2,61.3
31,Male,Fraud,Literate,36,9,3,0,53.4
57,Male,Robbery,Illiterate,95,8,1,0,47.2
37,Male,Drug Offense,Postgraduate education,41,7,2,0,30.1
45,Male,Drug Offense,Primary,73,13,3,4,76.9
63,Male,Murder,Preparatory,212,14,6,1,86.9
62,Male,Public Order,Primary,22,10,4,1,42.6
18,Male,Weapons Offense,Secondary,53,10,4,1,79.5
41,Male,Assault,Preparatory,43,14,5,2,80.2
42,Male,Assault,Postgraduate education,67,7,1,0,41.2
29,Female,Drug Offense,Primary,72,14,1,1,59.6
55,Female,Sexual Offense,Secondary,132,7,1,0,41.1
50,Male,Assault,Preparatory,98,10,1,3,64.6
24,Male,Theft,Literate,15,8,3,2,62.3
28,Male,Drug Offense,Literate,32,8,0,0,42.8
42,Male,Theft,Preparatory,44,14,3,0,43.2
52,Male,Public Order,Bachelor's,20,9,3,1,33.0
37,Male,Arson,Primary,69,13,0,2,63.8
58,Male,Fraud,Preparatory,39,14,0,0,40.5
29,Male,Vandalism,Primary,7,9,3,1,49.1
25,Male,Vandalism,Secondary,24,9,0,1,35.7
23,Male,Weapons Offense,Primary,26,10,0,1,60.3
61,Male,Theft,Secondary,44,16,7,0,54.8
59,Male,Sexual Offense,Primary,205,15,4,0,80.7
50,Male,Theft,Secondary,20,9,1,0,34.3
49,Female,Robbery,Secondary,57,8,2,1,45.8
19,Female,Robbery,Preparatory,61,10,2,0,57.7
33,Male,Public Order,Bachelor's,4,16,5,1,61.0
29,Male,Murder,Bachelor's,185,9,0,1,64.9
30,Male,Assault,Secondary,61,6,2,1,56.5
47,Female,Theft,Secondary,29,7,1,1,31.5
60,Male,Assault,Postgraduate education,54,12,0,2,48.2
47,Male,Kidnapping,Preparatory,243,6,0,1,62.7
44,Male,Drug Offense,Illiterate,65,12,5,1,74.7
29,Female,Assault,Illiterate,93,10,1,0,62.2
51,Male,Fraud,Illiterate,50,9,1,0,45.1
24,Male,Vandalism,Primary,17,10,2,1,52.6
60,Male,Vandalism,Secondary,28,14,2,2,47.9
34,Male,Assault,Literate,102,16,5,1,85.4
23,Male,Robbery,Bachelor's,132,7,0,1,48.4
32,Male,Theft,Secondary,19,4,1,0,29.3
54,Male,Murder,Secondary,429,16,3,3,92.1
59,Male,Robbery,Primary,120,11,0,2,56.7
25,Male,Drug Offense,Secondary,27,5,0,0,34.8
53,Male,Cybercrime,Secondary,12,13,0,4,54.7
30,Male,Murder,Secondary,417,7,0,0,61.0
18,Male,Burglary,Postgraduate education,71,15,6,1,68.1
33,Male,Burglary,Bachelor's,58,9,2,2,47.9
26,Male,Fraud,Literate,12,12,4,3,74.7
26,Male,Assault,Secondary,120,16,6,2,84.9
19,Male,Assault,Preparatory,59,11,3,1,76.6
50,Male,Cybercrime,Bachelor's,20,13,3,0,36.3
30,Male,Fraud,Primary,76,10,4,2,62.8
37,Male,Vandalism,Secondary,3,12,5,2,58.5
44,Male,Burglary,Secondary,66,8,0,2,39.8
23,Male,Robbery,Primary,109,12,5,3,100.0
31,Male,Sexual Offense,Literate,137,6,1,1,72.5
65,Male,Theft,Secondary,8,13,0,3,38.0
27,Female,Burglary,Illiterate,33,9,3,0,53.5
41,Male,Drug Offense,Secondary,84,4,0,0,31.6
55,Male,Burglary,Secondary,67,4,1,0,24.4
56,Male,Assault,Preparatory,86,8,0,0,36.4
62,Male,Theft,Preparatory,31,6,2,0,35.4
21,Female,Robbery,Literate,125,11,1,1,67.6
42,Male,Theft,Preparatory,37,9,1,2,47.4
32,Male,Drug Offense,Secondary,38,8,3,1,59.2
33,Male,Murder,Literate,465,10,3,1,94.7
47,Male,Fraud,Preparatory,67,8,1,0,36.7
21,Male,Robbery,Primary,119,10,1,1,72.1
63,Female,Vandalism,Preparatory,17,13,2,1,44.0
23,Male,Assault,Primary,53,14,1,0,67.0
32,Male,Murder,Preparatory,411,9,3,1,93.0
39,Female,Public Order,Bachelor's,9,6,0,1,24.6
39,Male,Theft,Secondary,37,10,0,2,40.5
20,Male,Sexual Offense,Postgraduate education,151,7,1,1,63.3
25,Male,Public Order,Preparatory,11,13,3,0,46.4
36,Male,Theft,Secondary,40,8,1,0,34.3
41,Male,Sexual Offense,Primary,218,8,3,2,78.8
44,Male,Theft,Illiterate,39,5,1,1,45.9
48,Male,Cybercrime,Preparatory,49,12,4,2,62.7
65,Male,Fraud,Literate,84,12,5,2,68.4
47,Male,Fraud,Secondary,49,7,2,0,28.1
50,Male,Weapons Offense,Secondary,50,11,1,2,60.5
55,Male,Assault,Bachelor's,72,11,4,2,59.0
51,Male,Kidnapping,Illiterate,231,12,5,0,72.9
42,Male,Sexual Offense,Primary,200,11,1,1,74.7
22,Male,Theft,Preparatory,38,4,0,0,23.7
48,Male,Arson,Preparatory,92,8,1,0,49.7
47,Male,Fraud,Illiterate,38,6,0,1,39.0
54,Male,Vandalism,Literate,17,4,0,0,21.2
49,Male,Burglary,Secondary,60,6,2,0,30.9
46,Male,Vandalism,Illiterate,31,11,2,2,55.3
33,Female,Theft,Secondary,29,16,3,1,57.3
29,Male,Vandalism,Preparatory,13,13,4,0,52.0
36,Male,Burglary,Secondary,61,6,1,1,41.1
33,Male,Theft,Secondary,17,14,2,2,59.7
34,Male,Theft,Preparatory,48,9,1,1,48.7
19,Male,Public Order,Preparatory,9,13,4,4,78.3
63,Male,Weapons Offense,Preparatory,68,14,5,1,65.0
59,Male,Fraud,Preparatory,62,11,1,2,42.0
38,Male,Drug Offense,Illiterate,76,7,1,1,54.3
39,Male,Sexual Offense,Illiterate,193,7,2,0,63.6
34,Male,Cybercrime,Secondary,24,14,6,2,71.2
52,Male,Weapons Offense,Primary,38,8,3,1,53.0
55,Male,Arson,Preparatory,37,7,1,0,34.9
34,Male,Fraud,Primary,30,11,4,3,64.1
51,Male,Robbery,Postgraduate education,88,10,1,3,45.5
37,Female,Fraud,Secondary,73,7,1,1,34.7
53,Male,Public Order,Secondary,21,9,2,1,28.7
46,Male,Theft,Primary,17,8,2,0,38.1
64,Male,Theft,Literate,7,7,0,0,25.1
48,Male,Cybercrime,Secondary,51,15,3,4,69.2
38,Male,Public Order,Bachelor's,19,10,0,1,31.7
54,Male,Assault,Preparatory,91,9,0,2,49.6
48,Male,Cybercrime,Preparatory,58,8,0,2,46.1
62,Male,Vandalism,Secondary,26,6,2,0,31.2
44,Male,Vandalism,Preparatory,28,14,3,0,45.7
37,Male,Assault,Primary,47,7,1,0,44.7
52,Male,Theft,Illiterate,23,13,1,2,51.5
23,Male,Burglary,Preparatory,33,13,3,1,67.0
61,Male,Weapons Offense,Literate,44,8,0,1,48.5
64,Male,Arson,Illiterate,98,8,0,2,55.9
41,Male,Weapons Offense,Illiterate,59,8,1,2,58.5
51,Male,Theft,Bachelor's,7,10,1,3,35.6
21,Male,Robbery,Preparatory,95,12,4,1,71.4
38,Male,Theft,Illiterate,13,4,0,0,27.9
43,Male,Murder,Primary,267,12,2,0,73.1
21,Male,Sexual Offense,Illiterate,232,7,1,0,66.1
39,Male,Murder,Bachelor's,276,8,0,0,49.1
30,Male,Public Order,Preparatory,16,6,2,0,28.9
27,Female,Drug Offense,Primary,80,14,5,1,71.7
63,Male,Assault,Secondary,57,13,2,4,72.6
39,Male,Drug Offense,Primary,63,9,2,1,55.4
49,Male,Kidnapping,Preparatory,248,6,1,0,50.0
63,Male,Drug Offense,Illiterate,58,11,1,2,60.1
20,Male,Murder,Preparatory,427,10,1,3,90.0
60,Male,Drug Offense,Primary,85,12,3,3,67.8
26,Male,Vandalism,Literate,25,14,0,4,68.9
26,Male,Sexual Offense,Postgraduate education,211,9,0,1,54.6
18,Male,Murder,Bachelor's,424,10,4,2,91.2
55,Male,Burglary,Bachelor's,33,8,3,1,41.8
52,Female,Drug Offense,Preparatory,53,13,2,0,42.3
25,Male,Vandalism,Secondary,31,8,0,0,32.3
23,Male,Burglary,Illiterate,62,11,0,0,55.4
47,Male,Weapons Offense,Primary,38,8,2,0,53.4
37,Female,Robbery,Secondary,141,4,1,0,35.4
33,Male,Theft,Literate,41,7,1,1,47.7
23,Male,Murder,Secondary,271,12,3,3,92.0
37,Male,Public Order,Postgraduate education,16,7,2,1,26.1
64,Male,Arson,Secondary,95,6,2,1,41.6
48,Male,Arson,Primary,117,9,1,0,52.7
37,Male,Cybercrime,Bachelor's,45,9,1,2,43.8
47,Male,Burglary,Postgraduate education,36,9,3,0,28.4
41,Male,Robbery,Preparatory,127,10,0,0,40.9
37,Male,Assault,Secondary,29,8,1,1,51.8
28,Male,Murder,Secondary,295,8,0,1,71.9
35,Female,Drug Offense,Secondary,28,11,4,2,64.3
36,Male,Cybercrime,Postgraduate education,46,15,1,3,54.3
19,Male,Murder,Illiterate,213,11,1,1,88.7
44,Male,Assault,Preparatory,40,8,2,2,63.6
36,Female,Fraud,Secondary,29,15,4,0,47.6
26,Male,Drug Offense,Bachelor's,40,10,0,2,53.3
44,Male,Burglary,Secondary,17,4,1,0,22.2
63,Female,Weapons Offense,Secondary,31,10,4,2,63.0
24,Male,Theft,Primary,48,9,0,1,46.6
25,Male,Burglary,Primary,31,11,2,3,73.0
22,Male,Public Order,Primary,19,6,0,1,38.2
18,Female,Drug Offense,Preparatory,28,13,0,1,64.9
57,Male,Burglary,Primary,45,13,2,1,58.0
65,Male,Vandalism,Literate,18,11,0,2,42.1
59,Male,Drug Offense,Secondary,73,8,2,0,43.3
48,Male,Theft,Primary,41,4,0,0,20.4
19,Male,Burglary,Secondary,22,7,1,0,37.5
65,Male,Sexual Offense,Primary,179,7,1,1,62.7
18,Male,Burglary,Secondary,13,13,5,3,82.5
54,Male,Public Order,Illiterate,10,10,4,2,56.0
47,Male,Cybercrime,Secondary,25,15,3,4,75.1
27,Male,Assault,Bachelor's,114,12,3,2,75.4
38,Male,Drug Offense,Illiterate,48,15,4,5,100.0
29,Male,Theft,Secondary,41,12,5,0,57.6
27,Male,Kidnapping,Secondary,233,8,2,1,78.9
41,Male,Robbery,Secondary,115,6,2,0,40.4
30,Male,Burglary,Secondary,49,10,3,2,61.7
19,Male,Vandalism,Secondary,14,11,0,1,43.6
62,Male,Assault,Secondary,52,14,6,1,64.7
39,Male,Burglary,Secondary,44,7,2,1,40.1
24,Female,Burglary,Bachelor's,26,9,1,1,43.9
35,Male,Drug Offense,Bachelor's,38,9,1,0,38.0
21,Male,Burglary,Primary,66,14,6,1,76.0
29,Male,Arson,Bachelor's,38,5,1,0,30.8
58,Male,Fraud,Secondary,70,12,5,1,53.3
28,Male,Burglary,Illiterate,70,9,0,2,56.8
22,Male,Theft,Bachelor's,23,13,1,3,62.2
24,Male,Assault,Illiterate,69,9,3,0,70.8
38,Male,Assault,Secondary,58,7,2,0,46.9
58,Female,Theft,Literate,44,7,0,0,28.2
61,Male,Weapons Offense,Preparatory,33,8,1,1,43.3
23,Male,Theft,Secondary,8,9,2,0,38.4
26,Male,Assault,Secondary,86,10,1,3,63.7
51,Male,Theft,Primary,25,15,4,1,56.0
19,Male,Kidnapping,Secondary,199,12,4,3,97.9
57,Female,Weapons Offense,Postgraduate education,84,7,2,0,35.3
25,Male,Assault,Secondary,69,12,1,0,48.8
49,Female,Cybercrime,Preparatory,57,11,3,0,41.8
32,Male,Assault,Secondary,59,10,0,3,66.1
44,Male,Vandalism,Preparatory,29,13,4,4,70.8
26,Male,Theft,Secondary,37,8,2,2,42.7
60,Male,Weapons Offense,Preparatory,64,10,0,3,56.7
26,Male,Arson,Preparatory,45,12,5,2,70.4
38,Male,Theft,Primary,38,11,0,3,50.3
60,Male,Vandalism,Secondary,29,3,0,0,12.1
56,Male,Cybercrime,Primary,49,10,2,3,62.0
31,Male,Assault,Bachelor's,88,12,1,2,58.8
20,Male,Drug Offense,Literate,22,12,4,2,81.2
